gamma,round,ood_dataset,AUROC,AUPR,FPR95
0.0,1,SVHN,0.6460999366164721,0.4326616393147807,0.9102642901044868
0.0,1,CIFAR100,0.49838823499999996,0.4899701531745029,0.9461
0.0,2,SVHN,0.672565444452981,0.42821618054202604,0.8757682851874616
0.0,2,CIFAR100,0.505535245,0.4945778849240015,0.9389
0.0,3,SVHN,0.6995843961278426,0.4203955839597775,0.8042409342347879
0.0,3,CIFAR100,0.47456809499999997,0.4676777832927509,0.9458
0.0,4,SVHN,0.5299012388598647,0.2989938148990585,0.9488706207744315
0.0,4,CIFAR100,0.47578018,0.471491563236449,0.9535
0.0,5,SVHN,0.3857010890442532,0.22076560425615227,0.9847111247695144
0.0,5,CIFAR100,0.54637575,0.5247120291133678,0.8908
0.0,6,SVHN,0.4714792370928088,0.25713629674838395,0.9544406883835279
0.0,6,CIFAR100,0.46693160499999997,0.46974038307951166,0.9577
0.0,7,SVHN,0.6433511255377996,0.38828557865303315,0.8847572218807621
0.0,7,CIFAR100,0.51782185,0.5069459480690184,0.9327
0.0,8,SVHN,0.6981894456822372,0.5184794546877425,0.8967040565457898
0.0,8,CIFAR100,0.456274475,0.45084532781133724,0.9531
0.0,9,SVHN,0.6080873213736939,0.37157668002372035,0.9245928088506453
0.0,9,CIFAR100,0.458324755,0.45363948126360165,0.9545
0.0,10,SVHN,0.5187407325599263,0.314416809949863,0.9449523663183774
0.0,10,CIFAR100,0.48591121000000004,0.4808051066702468,0.9504
0.5,1,SVHN,0.7750827577596804,0.7411433507202224,0.9070374923171481
0.5,1,CIFAR100,0.6627493950000001,0.6827387913667516,0.9107
0.5,2,SVHN,0.8214618988168408,0.7574481748618712,0.8315534726490473
0.5,2,CIFAR100,0.678701345,0.7052797534188993,0.9013
0.5,3,SVHN,0.7327385218192992,0.6928610793700009,0.9251306084818685
0.5,3,CIFAR100,0.665875585,0.6695342130237005,0.9034
0.5,4,SVHN,0.8099924804087277,0.6747990534724246,0.7306776275353412
0.5,4,CIFAR100,0.69794097,0.7241159099192529,0.9035
0.5,5,SVHN,0.758674387292563,0.6970436828181041,0.9223263675476336
0.5,5,CIFAR100,0.6605736600000001,0.679204720408342,0.9091
0.5,6,SVHN,0.8050385717578366,0.7726453339493521,0.8719268592501537
0.5,6,CIFAR100,0.674679785,0.6853822383986999,0.9015
0.5,7,SVHN,0.7848621196988321,0.7784430369595297,0.9350799016594961
0.5,7,CIFAR100,0.675840385,0.6993792851246223,0.8944
0.5,8,SVHN,0.7953769399200984,0.7316661250239908,0.8702750460971113
